	ramen	water	colla	rice	kimchi	pie	snack	gum	ice	garu	seereal	dobu	bread	mando	sugar	gochu	doenjang	ssamjang	oil	ganjang	ketchup	mayonnaise	chamoil	kim	fish	crab	chamchi	ham	powder	juice	cider	coffee	milk	yakult	hite	soju	hip	tooth	tissue	hyuji	napkin	shampoo	pongpong
seereal	0.12980595871	0.13094345833	0.14801489529	0.13995730395	0.068006645741	0.15989533327	0.1862544317	0.26300810158	0.21730194359	0.23883846748	1	0.12034925863	0.17456774036	0.072964266147	0.09210774981	0.047318663021	0.13304943314	0.2124037111	0.21343188345	0.027012969425	0.12082120524	0.25504306424	0.1209515559	0.091984713329	0.17554513415	0.25448199159	0.025723981116	0.23221589476	0.09745776805	0.15463063101	0.29443204775	0.30899178487	0.16115493301	0.063232956071	0.20455077931	0.17166808793	0.20233196056	0.15112307306	0.20871306601	0.21920769293	0.1460225058	0.16946630332	0.17217445528
dobu	0.17649824877	0.10063462056	0.080630928322	0.037423923837	0.052337859576	0.2262678171	0.13596582794	0.15266574298	0.15110871659	0.027258517919	0.12034925863	1	0.36533393215	0.073331420432	0.04603733689	0.038080985208	0.048173522046	0.079322552193	0.13459050873	0.067094460851	0.12702301281	0.27468816396	0.33213910313	0.22247631831	0.082792194217	0.038318390596	0.083021308131	0.23642295772	0.093454138209	0.10571617568	0.046241290173	0.23583997584	0.051121153365	0.037886634643	0.050397022967	0.088665333126	0.048062467747	0.061892283732	0.11107439415	0.085865316152	0.073733695561	0.071272169179	0.12212355001
bread	0.43327141951	0.059045336634	0.16685791632	0.09771159741	0.10658324948	0.2103803124	0.21399872841	0.19094079939	0.3033687493	0.16555975178	0.17456774036	0.36533393215	1	0.33947566348	0.11516526757	0.19448296124	0.16113073879	0.23312517838	0.17190624213	0.12117170379	0.13665700885	0.33344794369	0.4446012983	0.26272317647	0.27804175301	0.24307403204	0.072246399361	0.21989274576	0.061493217804	0.11275473894	0.11898493792	0.21748750661	0.19517975329	0.17878477373	0.18296143855	0.11628795418	0.13679924903	0.10196981193	0.052802159279	0.099799737766	0.17298481604	0.1135326604	0.23495814413
mando	0.49775163757	0.068953376737	0.066921969974	0	0.076172336534	0.19273325856	0.33501059227	0.18586685707	0.050801739118	0.045982496548	0.072964266147	0.073331420432	0.33947566348	1	0.095193344417	0.066320149615	0.095035180465	0.1979568496	0	0.031655375149	0.059561453604	0.050194284921	0.020522321546	0.083073058793	0.065324297887	0.041685424608	0.012606566072	0.057770679007	0.0092602901325	0.10899513171	0.057336980265	0.039998313245	0.25542687168	0.085968562363	0.074644870615	0.094083813917	0.031965084179	0	0.026637720161	0.048481503267	0.066540599623	0.052411992118	0.10479519465
sugar	0.11742788205	0.17816664232	0.11722510335	0.11428676113	0.027312608143	0.15183769606	0.087448779963	0.23795529344	0.13235056106	0.24475700425	0.09210774981	0.04603733689	0.11516526757	0.095193344417	1	0.090188866563	0.038251055798	0.057746757879	0.11506360909	0.039639545331	0.031112195681	0.23923189315	0.023653432776	0.052554207229	0.070403781374	0.18307384404	0.3225710845	0.17729446824	0.075938394112	0.098225098709	0.14901807963	0.18356666406	0.18954223831	0.077400832969	0.12817320981	0.023169474836	0.11313215952	0.056163200382	0.19436242972	0.32171279779	0.36190413185	0.091719348102	0.2473905904
gochu	0.12219334217	0.15448430801	0.10478883484	0.10051977005	0.051979190655	0.1467552235	0.16730610635	0.25033800427	0.29979898224	0.22906293891	0.047318663021	0.038080985208	0.19448296124	0.066320149615	0.090188866563	1	0.063923438178	0.099523162366	0.11103051668	0.038590299427	0.092371213622	0.26291626762	0.08720686711	0.1277547675	0.20165012374	0.18495792451	0.083343412217	0.16101866981	0.070237353356	0.19862850524	0.19049578049	0.25210372969	0.059137119223	0.088426848549	0.16911035648	0.11710205993	0.11267186167	0.042676722354	0.05997858275	0.12078418699	0.068349070082	0.097022636365	0.088820726677
doenjang	0.080527857465	0.14577096688	0.20584472754	0.046705091256	0.075619767115	0.14201810785	0.19656195834	0.041156511185	0.13461864031	0.086348852746	0.13304943314	0.048173522046	0.16113073879	0.095035180465	0.038251055798	0.063923438178	1	0.10162420586	0.050469102755	0.053302103088	0.097063726071	0.045373312826	0.041361918719	0.18712449566	0.14349194666	0.04717437239	0.15089015884	0.088833622694	0.044724392826	0.086548238995	0.071960831178	0.1444637405	0.099906740598	0.065323686176	0.15761461631	0.08847521213	0.18960378573	0.066259141068	0	0.054561690518	0.064153240172	0.047252769442	0.10345571644
ssamjang	0.24252081694	0.056534658513	0.25830349043	0.23135306274	0.041697021459	0.19824479687	0.083991747587	0.12388027053	0.062405267611	0.18347371783	0.2124037111	0.079322552193	0.23312517838	0.1979568496	0.057746757879	0.099523162366	0.10162420586	1	0.12497246943	0.079036801135	0.072210557648	0.14147025213	0.043914448652	0.11948358456	0.14924905144	0.15423864887	0.064794918472	0.28546719919	0.09734715205	0.20188450949	0.1296493284	0.27263796407	0.20712491236	0.0954681006	0.15135029352	0.014562797803	0.10961169443	0.054455890269	0.091513821671	0.09368870379	0.11910474577	0.063159300938	0.11383073997
oil	0.17546237555	0.10866926864	0.14526337397	0.20801105462	0.035499613496	0.13677363657	0.14361980162	0.1108866552	0.11140589756	0.16400186542	0.21343188345	0.13459050873	0.17190624213	0	0.11506360909	0.11103051668	0.050469102755	0.12497246943	1	0.055755142494	0.033838668177	0.23871097444	0.055068562013	0.023829041758	0.14270237169	0.10362366792	0.20374757942	0.16453338892	0.22754978822	0.14746979691	0.21786972376	0.16414214247	0.3360036058	0.080235576195	0.23589384959	0.069588096669	0.088841997733	0.093576716159	0.046467561139	0.098921041693	0.15903082989	0.086157787121	0.057337148993
ganjang	0.07041069171	0.039934680908	0.012013027794	0.039892889615	0.021848674063	0.16130358529	0.073867571973	0.088654155154	0.035824230336	0.17947764656	0.027012969425	0.067094460851	0.12117170379	0.031655375149	0.039639545331	0.038590299427	0.053302103088	0.079036801135	0.055755142494	1	0.10284963813	0.086662857981	0.072095976378	0.060715238877	0.12914361395	0.098022222928	0.062295197827	0.18630246412	0.086430105951	0.12378531499	0.058352287722	0.075192790918	0.040441664997	0.068006380562	0.083596683778	0.025051730776	0.10161287052	0.032909609976	0.079589786497	0.12235552182	0.10913971505	0.1642570712	0.13470214475
ketchup	0.13731929789	0.052321502163	0.11215052546	0.08059568124	0.037351666231	0.14548566888	0.11954825819	0.1240481278	0.29420322712	0.020747978721	0.12082120524	0.12702301281	0.13665700885	0.059561453604	0.031112195681	0.092371213622	0.097063726071	0.072210557648	0.033838668177	0.10284963813	1	0.083913247095	0.21488308746	0.17629632991	0.24887277476	0.11838569226	0.069448576529	0.24295145848	0.060815478103	0.31368729623	0.066406662788	0.1388123195	0.024194856335	0.12528525888	0.032623636334	0.11103806352	0.11153335027	0.053642535635	0.31828406332	0.086634197555	0.15272276064	0.070781668155	0.10452859151
mayonnaise	0.15337314283	0.083875531589	0.14639014774	0.17002953528	0.050029456361	0.13565567342	0.11143863247	0.24680569973	0.24508848655	0.29500488604	0.25504306424	0.27468816396	0.33344794369	0.050194284921	0.23923189315	0.26291626762	0.045373312826	0.14147025213	0.23871097444	0.086662857981	0.083913247095	1	0.2829235487	0.20796408902	0.19152028815	0.23322628893	0.16593014711	0.25433579738	0.14538149447	0.17622004381	0.22747688655	0.27036739698	0.080264152888	0.083307266537	0.20501053428	0.19355025152	0.20766039528	0.16610638349	0.22934628759	0.34864111002	0.26129924582	0.16550452982	0.20133832736
chamoil	0.13362800271	0.054993895047	0.081209360628	0.0419405258	0.032211943974	0.16536839189	0.12035416701	0.096985768497	0.16683883703	0.051045599959	0.1209515559	0.33213910313	0.4446012983	0.020522321546	0.023653432776	0.08720686711	0.041361918719	0.043914448652	0.055068562013	0.072095976378	0.21488308746	0.2829235487	1	0.22250070722	0.16453301572	0.053343378272	0.019806774458	0.18639265436	0.075035743235	0.11142044501	0.060451049586	0.15138325281	0.040846580951	0.23197058891	0.081958611954	0.18506929878	0.050517193981	0.064365586278	0.08487362055	0.10891481951	0.15768395916	0.088006250344	0.12467860122
kim	0.18928885695	0.09228166522	0.21962319578	0.029808192896	0.090685821824	0.15507173181	0.090084052786	0.17055918439	0.37203878649	0.12885243022	0.091984713329	0.22247631831	0.26272317647	0.083073058793	0.052554207229	0.1277547675	0.18712449566	0.11948358456	0.023829041758	0.060715238877	0.17629632991	0.20796408902	0.22250070722	1	0.27396806661	0.082980369497	0.1220932989	0.19459880352	0.068913477268	0.1049314322	0.14495991492	0.20243616289	0.0074623359992	0.10846296594	0.084018483551	0.050811819297	0.17594842075	0.037189615574	0.092509057965	0.11014444869	0.053811913634	0.099112850582	0.19737352226
fish	0.25013487689	0.10749244608	0.24938483809	0.1507155904	0.096386189975	0.12307540776	0.1001950888	0.114518991	0.31199154118	0.0794583361	0.17554513415	0.082792194217	0.27804175301	0.065324297887	0.070403781374	0.20165012374	0.14349194666	0.14924905144	0.14270237169	0.12914361395	0.24887277476	0.19152028815	0.16453301572	0.27396806661	1	0.20830120765	0.074518883539	0.1958948842	0.071198730307	0.15906734772	0.14424274597	0.15237541013	0.095077976283	0.07118210161	0.1812572381	0.074630705411	0.11203535033	0.072460885595	0.11249089978	0.16189020673	0.11397096811	0.13440355605	0.12755929342
crab	0.16968500666	0.11713703054	0.13861509032	0.0842402299	0.02211893213	0.1296438249	0.13754270661	0.24305498651	0.1734047751	0.16025053645	0.25448199159	0.038318390596	0.24307403204	0.041685424608	0.18307384404	0.18495792451	0.04717437239	0.15423864887	0.10362366792	0.098022222928	0.11838569226	0.23322628893	0.053343378272	0.082980369497	0.20830120765	1	0.10571179562	0.24443238515	0.091820927536	0.19524513781	0.23107125945	0.19760384505	0.072061962018	0.19312928926	0.13432871028	0.11686189186	0.15957441717	0.06955706344	0.18515607471	0.17659804297	0.19571604182	0.21882612719	0.1867437354
